% ----------------------------- 
%       Aurea Technology      - 
%    ChronoXea - Histogram    - 
% ----------------------------- 
% Date          : 18/12/25
% Time          : 12:20:45
% Channel       : 197905
% Bin width     : 13 ps
%
% Histo data (in ns):
% x    y
122.2000	1
122.2130	0
122.2260	0
122.2390	1
122.2520	0
122.2650	1
122.2780	0
122.2910	2
122.3040	5
122.3170	0
122.3300	8
122.3430	3
122.3560	4
122.3690	3
122.3820	6
122.3950	6
122.4080	2
122.4210	10
122.4340	8
122.4470	8
122.4600	7
122.4730	10
122.4860	7
122.4990	7
122.5120	6
122.5250	4
122.5380	6
122.5510	5
122.5640	3
122.5770	6
122.5900	2
122.6030	6
122.6160	6
122.6290	3
122.6420	8
122.6550	2
122.6680	6
122.6810	5
122.6940	2
122.7070	4
122.7200	5
122.7330	2
122.7460	4
122.7590	7
122.7720	3
122.7850	4
122.7980	6
122.8110	2
122.8240	5
122.8370	5
122.8500	5
122.8630	5
122.8760	3
122.8890	5
122.9020	2
122.9150	2
122.9280	6
122.9410	5
122.9540	6
122.9670	3
122.9800	6
122.9930	1
123.0060	7
123.0190	5
123.0320	3
123.0450	4
123.0580	5
123.0710	6
123.0840	6
123.0970	3
123.1100	4
123.1230	4
123.1360	5
123.1490	4
123.1620	2
123.1750	6
123.1880	7
123.2010	5
123.2140	9
123.2270	5
123.2400	4
123.2530	6
123.2660	1
123.2790	4
123.2920	2
123.3050	5
123.3180	4
123.3310	1
123.3440	5
123.3570	4
123.3700	6
123.3830	4
123.3960	11
123.4090	1
123.4220	5
123.4350	2
123.4480	5
123.4610	3
123.4740	5
123.4870	11
123.5000	7
123.5130	3
123.5260	4
123.5390	4
123.5520	2
123.5650	5
123.5780	8
123.5910	3
123.6040	6
123.6170	8
123.6300	5
123.6430	6
123.6560	4
123.6690	5
123.6820	1
123.6950	4
123.7080	4
123.7210	3
123.7340	6
123.7470	4
123.7600	6
123.7730	5
123.7860	3
123.7990	5
123.8120	8
123.8250	5
123.8380	5
123.8510	3
123.8640	5
123.8770	8
123.8900	4
123.9030	4
123.9160	3
123.9290	2
123.9420	7
123.9550	6
123.9680	7
123.9810	4
123.9940	2
124.0070	5
124.0200	7
124.0330	4
124.0460	4
124.0590	5
124.0720	5
124.0850	5
124.0980	9
124.1110	6
124.1240	2
124.1370	5
124.1500	4
124.1630	4
124.1760	3
124.1890	2
124.2020	5
124.2150	10
124.2280	7
124.2410	7
124.2540	8
124.2670	3
124.2800	3
124.2930	4
124.3060	7
124.3190	7
124.3320	4
124.3450	7
124.3580	1
124.3710	8
124.3840	7
124.3970	1
124.4100	4
124.4230	4
124.4360	8
124.4490	6
124.4620	4
124.4750	5
124.4880	6
124.5010	5
124.5140	3
124.5270	10
124.5400	6
124.5530	3
124.5660	8
124.5790	3
124.5920	6
124.6050	4
124.6180	5
124.6310	5
124.6440	6
124.6570	5
124.6700	4
124.6830	4
124.6960	4
124.7090	5
124.7220	5
124.7350	0
124.7480	5
124.7610	5
124.7740	4
124.7870	7
124.8000	9
124.8130	2
124.8260	6
124.8390	6
124.8520	4
124.8650	8
124.8780	2
124.8910	3
124.9040	8
124.9170	5
124.9300	4
124.9430	4
124.9560	2
124.9690	8
124.9820	1
124.9950	5
125.0080	8
125.0210	3
125.0340	5
125.0470	5
125.0600	5
125.0730	3
125.0860	7
125.0990	7
125.1120	5
125.1250	4
125.1380	6
125.1510	5
125.1640	4
125.1770	2
125.1900	4
125.2030	6
125.2160	8
125.2290	7
125.2420	1
125.2550	2
125.2680	5
125.2810	6
125.2940	6
125.3070	4
125.3200	7
125.3330	1
125.3460	4
125.3590	8
125.3720	5
125.3850	3
125.3980	6
125.4110	3
125.4240	5
125.4370	6
125.4500	3
125.4630	4
125.4760	5
125.4890	7
125.5020	1
125.5150	1
125.5280	5
125.5410	5
125.5540	3
125.5670	7
125.5800	6
125.5930	8
125.6060	6
125.6190	5
125.6320	4
125.6450	10
125.6580	4
125.6710	5
125.6840	6
125.6970	5
125.7100	5
125.7230	7
125.7360	2
125.7490	7
125.7620	6
125.7750	1
125.7880	9
125.8010	7
125.8140	5
125.8270	3
125.8400	6
125.8530	2
125.8660	3
125.8790	5
125.8920	4
125.9050	7
125.9180	3
125.9310	8
125.9440	6
125.9570	9
125.9700	0
125.9830	2
125.9960	3
126.0090	2
126.0220	5
126.0350	8
126.0480	3
126.0610	5
126.0740	8
126.0870	4
126.1000	5
126.1130	4
126.1260	5
126.1390	3
126.1520	5
126.1650	4
126.1780	8
126.1910	5
126.2040	6
126.2170	8
126.2300	5
126.2430	4
126.2560	6
126.2690	2
126.2820	7
126.2950	5
126.3080	4
126.3210	4
126.3340	6
126.3470	6
126.3600	9
126.3730	4
126.3860	1
126.3990	6
126.4120	5
126.4250	9
126.4380	8
126.4510	9
126.4640	5
126.4770	4
126.4900	3
126.5030	6
126.5160	4
126.5290	6
126.5420	4
126.5550	3
126.5680	5
126.5810	6
126.5940	8
126.6070	8
126.6200	7
126.6330	5
126.6460	7
126.6590	5
126.6720	6
126.6850	3
126.6980	3
126.7110	5
126.7240	8
126.7370	5
126.7500	2
126.7630	8
126.7760	5
126.7890	3
126.8020	4
126.8150	5
126.8280	4
126.8410	6
126.8540	6
126.8670	6
126.8800	6
126.8930	6
126.9060	2
126.9190	6
126.9320	7
126.9450	7
126.9580	5
126.9710	3
126.9840	6
126.9970	4
127.0100	9
127.0230	2
127.0360	1
127.0490	6
127.0620	5
127.0750	5
127.0880	3
127.1010	7
127.1140	8
127.1270	3
127.1400	4
127.1530	3
127.1660	5
127.1790	5
127.1920	5
127.2050	5
127.2180	4
127.2310	6
127.2440	6
127.2570	2
127.2700	6
127.2830	2
127.2960	4
127.3090	5
127.3220	4
127.3350	4
127.3480	6
127.3610	5
127.3740	7
127.3870	8
127.4000	7
127.4130	8
127.4260	5
127.4390	8
127.4520	5
127.4650	7
127.4780	8
127.4910	7
127.5040	3
127.5170	5
127.5300	10
127.5430	7
127.5560	5
127.5690	3
127.5820	3
127.5950	3
127.6080	4
127.6210	7
127.6340	8
127.6470	3
127.6600	5
127.6730	4
127.6860	5
127.6990	4
127.7120	6
127.7250	5
127.7380	6
127.7510	5
127.7640	7
127.7770	4
127.7900	3
127.8030	5
127.8160	3
127.8290	4
127.8420	7
127.8550	6
127.8680	3
127.8810	8
127.8940	3
127.9070	7
127.9200	6
127.9330	3
127.9460	5
127.9590	8
127.9720	5
127.9850	4
127.9980	3
128.0110	6
128.0240	8
128.0370	5
128.0500	2
128.0630	3
128.0760	4
128.0890	4
128.1020	4
128.1150	3
128.1280	8
128.1410	5
128.1540	2
128.1670	4
128.1800	8
128.1930	2
128.2060	2
128.2190	9
128.2320	3
128.2450	3
128.2580	9
128.2710	7
128.2840	11
128.2970	7
128.3100	4
128.3230	10
128.3360	2
128.3490	5
128.3620	11
128.3750	6
128.3880	10
128.4010	4
128.4140	4
128.4270	2
128.4400	6
128.4530	7
128.4660	9
128.4790	5
128.4920	8
128.5050	9
128.5180	8
128.5310	4
128.5440	7
128.5570	6
128.5700	7
128.5830	3
128.5960	9
128.6090	9
128.6220	9
128.6350	9
128.6480	3
128.6610	7
128.6740	7
128.6870	4
128.7000	9
128.7130	4
128.7260	10
128.7390	5
128.7520	7
128.7650	6
128.7780	7
128.7910	6
128.8040	6
128.8170	4
128.8300	7
128.8430	4
128.8560	3
128.8690	4
128.8820	2
128.8950	6
