% ----------------------------- 
%       Aurea Technology      - 
%    ChronoXea - Histogram    - 
% ----------------------------- 
% Date          : 18/12/25
% Time          : 12:18:02
% Channel       : 197905
% Bin width     : 13 ps
%
% Histo data (in ns):
% x    y
122.2260	2
122.2390	1
122.2520	1
122.2650	1
122.2780	0
122.2910	4
122.3040	5
122.3170	1
122.3300	6
122.3430	3
122.3560	2
122.3690	2
122.3820	8
122.3950	4
122.4080	7
122.4210	3
122.4340	6
122.4470	8
122.4600	4
122.4730	5
122.4860	9
122.4990	5
122.5120	3
122.5250	5
122.5380	4
122.5510	3
122.5640	5
122.5770	4
122.5900	7
122.6030	6
122.6160	7
122.6290	4
122.6420	7
122.6550	4
122.6680	2
122.6810	2
122.6940	4
122.7070	2
122.7200	6
122.7330	4
122.7460	5
122.7590	7
122.7720	8
122.7850	3
122.7980	0
122.8110	2
122.8240	1
122.8370	4
122.8500	4
122.8630	5
122.8760	5
122.8890	4
122.9020	3
122.9150	1
122.9280	9
122.9410	1
122.9540	2
122.9670	5
122.9800	4
122.9930	2
123.0060	6
123.0190	6
123.0320	9
123.0450	5
123.0580	1
123.0710	4
123.0840	5
123.0970	3
123.1100	4
123.1230	4
123.1360	1
123.1490	3
123.1620	3
123.1750	2
123.1880	6
123.2010	3
123.2140	4
123.2270	4
123.2400	5
123.2530	6
123.2660	5
123.2790	3
123.2920	7
123.3050	3
123.3180	4
123.3310	1
123.3440	2
123.3570	12
123.3700	10
123.3830	3
123.3960	5
123.4090	8
123.4220	3
123.4350	6
123.4480	7
123.4610	3
123.4740	8
123.4870	7
123.5000	7
123.5130	2
123.5260	8
123.5390	10
123.5520	3
123.5650	7
123.5780	0
123.5910	8
123.6040	3
123.6170	5
123.6300	3
123.6430	5
123.6560	4
123.6690	6
123.6820	7
123.6950	10
123.7080	5
123.7210	3
123.7340	1
123.7470	4
123.7600	8
123.7730	6
123.7860	5
123.7990	9
123.8120	5
123.8250	5
123.8380	6
123.8510	4
123.8640	4
123.8770	4
123.8900	3
123.9030	2
123.9160	2
123.9290	4
123.9420	4
123.9550	6
123.9680	4
123.9810	5
123.9940	3
124.0070	4
124.0200	6
124.0330	6
124.0460	6
124.0590	6
124.0720	9
124.0850	5
124.0980	9
124.1110	3
124.1240	5
124.1370	13
124.1500	3
124.1630	2
124.1760	8
124.1890	4
124.2020	2
124.2150	11
124.2280	8
124.2410	7
124.2540	7
124.2670	3
124.2800	7
124.2930	6
124.3060	3
124.3190	8
124.3320	4
124.3450	3
124.3580	7
124.3710	3
124.3840	3
124.3970	8
124.4100	7
124.4230	2
124.4360	3
124.4490	4
124.4620	3
124.4750	8
124.4880	5
124.5010	7
124.5140	5
124.5270	4
124.5400	6
124.5530	6
124.5660	7
124.5790	2
124.5920	3
124.6050	3
124.6180	4
124.6310	3
124.6440	7
124.6570	3
124.6700	6
124.6830	3
124.6960	2
124.7090	5
124.7220	5
124.7350	6
124.7480	2
124.7610	3
124.7740	2
124.7870	4
124.8000	4
124.8130	6
124.8260	5
124.8390	3
124.8520	7
124.8650	6
124.8780	3
